,PID,MSSubClass,Foundation,PavedDrive,BsmtUnfSF,AllBathBsmt,AllBathAbv,HeatingQC,Neighborhood,YearBuilt,SalePrice,GarageCars,PorchArea,GoodLivArea,CentralAir,KitchenQual,ExterQual,BsmtCond,FireplaceQu,GarageQual,HasPool
0,526301100,1Fl,CBlock,Y,441.0,1.0,1.0,Fair,NAmes,1960,215000,2.0,272,2295.0,Y,Typical,TA,Good,Gd,Typical,0
1,526302030,1Fl,CBlock,Y,171.0,1.0,2.0,Good,NAmes,1954,149900,2.0,280,2300.0,Y,Typical,TA,Typical,None,Typical,0
2,526302040,1Fl,CBlock,Y,235.0,1.0,1.0,Typical,NAmes,1956,157500,1.0,280,1797.0,Y,Good,TA,Typical,TA,Typical,0
3,526302110,1Fl,CBlock,Y,318.0,0.0,1.0,Typical,NAmes,1956,124500,1.0,0,1446.0,Y,Typical,TA,Fair,None,Typical,0
4,526302120,1Fl,CBlock,Y,490.0,0.0,1.5,Fair,NAmes,1957,169000,3.0,0,2924.0,Y,Typical,TA,Typical,TA,Typical,0
5,526350040,1Fl,CBlock,Y,270.0,0.0,1.0,Typical,NAmes,1961,105000,1.0,260,1508.0,Y,Typical,TA,Typical,None,Typical,0
6,526351010,1Fl,CBlock,Y,406.0,0.0,1.5,Typical,NAmes,1958,172000,1.0,429,2252.0,Y,Good,TA,Typical,None,Typical,0
7,526351030,1Fl,CBlock,Y,245.0,1.0,1.0,Excellent,NAmes,1958,176500,2.0,241,2353.0,Y,Typical,Ex,Typical,TA,Typical,0
8,526351100,1Fl,CBlock,Y,590.0,1.0,2.0,Typical,NAmes,1974,157000,2.0,101,2278.0,Y,Typical,TA,Typical,Gd,Typical,0
9,526352080,1Fl,CBlock,Y,749.0,0.0,2.0,Typical,NAmes,1971,167300,2.0,44,2425.0,Y,Typical,TA,Typical,Gd,Typical,0
10,526352090,1Fl,CBlock,Y,499.0,1.0,1.0,Typical,NAmes,1970,167000,2.0,176,2055.0,Y,Typical,TA,Good,Po,Typical,0
11,526353030,1Fl,CBlock,Y,1045.0,1.0,2.5,Excellent,NAmes,1968,244000,2.0,0,3175.0,Y,Excellent,Gd,Typical,TA,Typical,0
12,526353050,1Fl,CBlock,Y,340.0,0.0,2.5,Excellent,NAmes,1970,237500,2.0,42,2982.0,Y,Typical,TA,Typical,Gd,Typical,0
13,526354020,1Fl,CBlock,Y,1851.0,0.0,2.0,Good,NAmes,1969,192100,2.0,146,1851.0,Y,Typical,TA,Typical,TA,Typical,0
14,526354070,2Fl,CBlock,Y,176.0,0.0,2.5,Typical,NAmes,1969,206900,2.0,280,2888.0,Y,Typical,TA,Typical,Gd,Typical,0
15,526355080,SPLIT,CBlock,Y,542.0,1.0,2.5,Good,NAmes,1972,345000,2.0,380,4114.0,Y,Excellent,Gd,Typical,TA,Typical,0
16,526355170,1Fl,CBlock,Y,343.0,1.0,2.0,Excellent,NAmes,1973,244000,2.0,300,4103.0,Y,Typical,TA,Typical,Gd,Typical,0
17,526355190,1Fl,PConc,Y,1043.0,1.0,2.0,Excellent,NAmes,1970,268000,2.0,512,3391.0,Y,Good,Gd,Good,TA,Typical,0
18,527105010,2Fl,PConc,Y,137.0,0.0,2.5,Good,Gilbert,1997,189900,2.0,246,2420.0,Y,Typical,TA,Typical,TA,Typical,0
19,527105030,2Fl,PConc,Y,324.0,0.0,2.5,Excellent,Gilbert,1998,195500,2.0,396,2206.0,Y,Good,TA,Typical,Gd,Typical,0
20,527105050,2Fl,PConc,Y,220.0,0.0,2.5,Excellent,Gilbert,1997,187500,2.0,36,2310.0,Y,Typical,TA,Typical,TA,Typical,0
21,527105060,2Fl,PConc,Y,113.0,1.0,2.5,Excellent,Gilbert,1997,183500,2.0,493,2225.0,Y,Typical,TA,Typical,TA,Typical,0
22,527105070,2Fl,PConc,Y,98.0,0.0,2.5,Excellent,Gilbert,1997,189500,2.0,282,2455.0,Y,Typical,TA,Typical,TA,Typical,0
23,527105130,2Fl,PConc,Y,158.0,0.0,2.5,Excellent,Gilbert,2003,270000,3.0,166,3133.0,Y,Good,Gd,Typical,Gd,Typical,0
24,527105140,2Fl,PConc,Y,847.0,0.0,2.5,Excellent,Gilbert,2003,225000,2.0,148,1733.0,Y,Good,Gd,Typical,Gd,Typical,0
25,527106010,2Fl,PConc,Y,964.0,0.0,2.5,Good,Gilbert,1997,222000,2.0,0,2236.0,Y,Good,TA,Typical,TA,Typical,0
26,527106050,2Fl,PConc,Y,204.0,0.0,2.5,Good,Gilbert,1995,165000,2.0,241,1946.0,Y,Typical,TA,Typical,TA,Typical,0
27,527106140,2Fl,PConc,Y,75.0,0.0,2.5,Excellent,Gilbert,1998,195500,2.0,182,2455.0,Y,Typical,TA,Typical,None,Typical,0
28,527106150,2Fl,PConc,Y,115.0,1.0,2.5,Good,Gilbert,1998,192000,2.0,138,2466.0,Y,Typical,TA,Typical,TA,Typical,0
29,527107010,2Fl,PConc,Y,778.0,0.0,2.5,Good,Gilbert,1996,173000,2.0,252,1774.0,Y,Typical,TA,Typical,TA,Typical,0
30,527107020,2Fl,PConc,Y,781.0,0.0,2.5,Good,Gilbert,1995,170000,2.0,84,1671.0,Y,Typical,TA,Typical,TA,Typical,0
31,527107030,2Fl,PConc,Y,99.0,0.0,2.5,Good,Gilbert,1995,187500,2.0,359,2090.0,Y,Typical,TA,Typical,TA,Typical,0
32,527107040,2Fl,PConc,Y,806.0,0.0,2.5,Good,Gilbert,1995,168000,2.0,40,1572.0,Y,Typical,TA,Typical,TA,Typical,0
33,527107090,1Fl,PConc,Y,898.0,1.0,2.0,Good,Gilbert,1996,177900,2.0,39,1834.0,Y,Good,Gd,Typical,None,Typical,0
34,527107120,2Fl,PConc,Y,821.0,0.0,2.5,Good,Gilbert,1996,202000,2.0,402,1776.0,Y,Typical,TA,Typical,TA,Typical,0
35,527107130,SPLIT,PConc,Y,100.0,0.0,2.5,Good,Gilbert,1996,189000,2.0,120,1912.0,Y,Typical,TA,Typical,TA,Typical,0
36,527107210,2Fl,PConc,Y,125.0,0.5,2.5,Excellent,Gilbert,1996,175000,2.0,286,2050.0,Y,Typical,TA,Typical,TA,Typical,0
37,527107240,2Fl,PConc,Y,88.0,1.0,2.5,Good,Gilbert,1997,185000,2.0,170,2225.0,Y,Typical,TA,Typical,TA,Typical,0
38,527108030,2Fl,PConc,Y,1074.0,0.0,2.5,Excellent,Gilbert,2005,250000,2.0,119,2064.0,Y,Good,Gd,Typical,Gd,Typical,0
39,527108040,2Fl,PConc,Y,893.0,0.0,2.5,Excellent,Gilbert,2005,239900,3.0,116,1801.0,Y,Good,Gd,Typical,Gd,Typical,0
40,527108060,2Fl,PConc,Y,1640.0,1.0,2.5,Excellent,Gilbert,2005,309000,3.0,390,2272.0,Y,Good,Gd,Typical,Gd,Typical,0
41,527108070,1Fl,PConc,Y,426.0,1.0,2.0,Excellent,Gilbert,2006,377500,3.0,240,3066.0,Y,Excellent,Ex,Typical,Gd,Typical,0
42,527108090,2Fl,PConc,Y,868.0,0.0,2.5,Excellent,Gilbert,2006,274725,2.0,100,2021.0,Y,Good,Gd,Good,Gd,Typical,0
43,527110020,SPLIT,PConc,Y,384.0,0.0,2.5,Good,Gilbert,1995,168500,2.0,192,1474.0,Y,Typical,TA,Typical,TA,Typical,0
44,527110080,2Fl,PConc,Y,612.0,0.5,2.0,Good,Gilbert,1997,177000,2.0,75,1652.0,Y,Typical,TA,Typical,None,Typical,0
45,527110120,2Fl,PConc,Y,916.0,0.0,2.5,Good,Gilbert,1997,169000,2.0,138,1600.0,Y,Typical,TA,Typical,TA,Typical,0
46,527110130,SPLIT,PConc,Y,384.0,0.0,2.5,Good,Gilbert,1997,161500,2.0,0,1384.0,Y,Typical,TA,Typical,TA,Typical,0
47,527126030,1FlPUD,PConc,Y,298.0,1.0,2.0,Excellent,StoneBr,2000,251000,2.0,144,2848.0,Y,Excellent,Gd,Typical,None,Typical,0
48,527127100,1FlPUD,PConc,Y,243.0,1.0,2.0,Excellent,StoneBr,2004,375000,2.0,239,4487.0,Y,Good,Gd,Typical,Gd,Typical,0
49,527127140,1FlPUD,PConc,Y,440.0,1.0,1.5,Excellent,StoneBr,2001,286000,2.0,344,2746.0,Y,Excellent,Gd,Typical,Gd,Typical,0
50,527127150,1FlPUD,PConc,Y,722.0,1.0,2.0,Excellent,StoneBr,2001,213500,2.0,170,1954.0,Y,Good,Gd,Typical,None,Typical,0
51,527131030,1FlPUD,PConc,Y,343.0,1.0,2.0,Excellent,StoneBr,2000,278000,2.0,271,2817.0,Y,Excellent,Gd,Typical,Ex,Typical,0
52,527131110,1FlPUD,PConc,Y,1008.0,1.0,1.5,Excellent,StoneBr,1997,247900,2.0,0,2338.0,Y,Good,Gd,Typical,TA,Typical,0
53,527132090,1FlPUD,PConc,Y,1077.0,1.0,2.0,Excellent,StoneBr,1998,240000,2.0,211,1819.0,Y,Typical,TA,Typical,None,Typical,0
54,527140090,1FlPUD,PConc,Y,604.0,1.0,2.0,Good,StoneBr,1993,180000,2.0,334,2070.0,Y,Good,Gd,Typical,TA,Typical,0
55,527145080,1FlPUD,PConc,Y,1017.0,0.0,2.0,Excellent,StoneBr,1992,191500,2.0,226,1543.0,Y,Good,Gd,Typical,None,Typical,0
56,527145090,1FlPUD,PConc,Y,1280.0,0.0,2.0,Excellent,StoneBr,1992,180000,2.0,226,1280.0,Y,Good,Gd,Typical,None,Typical,0
57,527146010,1FlPUD,PConc,Y,846.0,1.0,2.0,Excellent,StoneBr,1995,239500,2.0,102,2475.0,Y,Good,Gd,Typical,None,Typical,0
58,527146030,1FlPUD,PConc,Y,415.0,1.0,2.0,Excellent,StoneBr,1995,236500,2.0,389,2796.0,Y,Good,Gd,Typical,TA,Typical,0
59,527146135,2FlPUD,PConc,Y,2062.0,0.0,2.5,Excellent,StoneBr,1994,270000,2.0,180,2687.0,Y,Good,Gd,Typical,None,Typical,0
60,527158020,1Fl,PConc,Y,455.0,0.5,2.0,Good,Gilbert,1993,183500,2.0,170,1874.0,Y,Typical,TA,Typical,TA,Typical,0
61,527158090,SPLIT,PConc,Y,206.0,0.0,2.5,Good,Gilbert,1994,160000,2.0,320,1880.0,Y,Typical,TA,Typical,TA,Typical,0
62,527161010,2Fl,PConc,Y,926.0,0.0,2.5,Excellent,Gilbert,1997,181000,2.0,36,1604.0,Y,Typical,TA,Typical,TA,Typical,0
63,527161040,SPLIT,PConc,Y,195.0,0.0,2.5,Good,Gilbert,1998,177500,2.0,256,1571.0,Y,Typical,Gd,Typical,TA,Typical,0
64,527161090,2Fl,PConc,Y,52.0,1.0,2.5,Good,Gilbert,1999,180000,2.0,304,2585.0,Y,Typical,TA,Typical,TA,Typical,0
65,527162080,2Fl,PConc,Y,277.0,0.0,2.5,Good,Gilbert,1996,178750,2.0,44,1967.0,Y,Good,Gd,Typical,None,Typical,0
66,527162090,1Fl,PConc,Y,1237.0,0.0,2.0,Good,Gilbert,1995,176000,2.0,241,1253.0,Y,Typical,TA,Good,TA,Typical,0
67,527162110,2Fl,PConc,Y,832.0,0.0,2.5,Good,Gilbert,1998,185000,2.0,385,1718.0,Y,Typical,TA,Typical,TA,Typical,0
68,527162120,2Fl,PConc,Y,476.0,1.0,2.5,Good,Gilbert,1998,191000,2.0,84,2112.0,Y,Typical,Gd,Typical,TA,Typical,0
69,527162130,2Fl,PConc,Y,994.0,0.0,2.5,Good,Gilbert,1999,189000,2.0,200,1804.0,Y,Good,TA,Typical,TA,Typical,0
70,527162140,2Fl,PConc,Y,938.0,0.0,3.5,Excellent,Gilbert,1999,204000,2.0,218,2299.0,Y,Typical,TA,Typical,TA,Typical,0
71,527162180,2Fl,PConc,Y,932.0,0.0,2.5,Good,Gilbert,1998,183000,2.0,39,1633.0,Y,Typical,TA,Typical,TA,Typical,0
72,527163010,2Fl,PConc,Y,763.0,0.0,2.5,Good,Gilbert,1993,175900,2.0,241,1655.0,Y,Typical,TA,Typical,TA,Typical,0
73,527163020,2Fl,PConc,Y,179.0,0.0,2.5,Good,Gilbert,1993,165600,2.0,253,2019.0,Y,Good,TA,Typical,TA,Typical,0
74,527163040,2Fl,PConc,Y,799.0,0.0,2.5,Good,Gilbert,1993,178000,2.0,40,1571.0,Y,Typical,Gd,Typical,TA,Typical,0
75,527163070,2Fl,PConc,Y,370.0,0.0,2.5,Good,Gilbert,1993,185000,2.0,295,1780.0,Y,Typical,Ex,Good,TA,Typical,0
76,527163080,1Fl,PConc,Y,1168.0,0.0,2.0,Good,Gilbert,1992,160000,2.0,21,1187.0,Y,Good,TA,Typical,None,Typical,0
77,527163100,2Fl,PConc,Y,554.0,1.0,2.5,Good,Gilbert,1995,188000,2.0,308,1877.0,Y,Typical,TA,Typical,TA,Typical,0
78,527163130,2Fl,PConc,Y,107.0,1.0,2.5,Good,Gilbert,1994,181316,2.0,46,2116.0,Y,Good,TA,Typical,TA,Typical,0
79,527164020,1Fl,PConc,Y,1181.0,0.0,2.0,Excellent,Gilbert,1993,166000,2.0,21,1190.0,Y,Good,TA,Typical,TA,Typical,0
80,527164060,2Fl,PConc,Y,808.0,0.0,2.5,Good,Gilbert,1992,178000,2.0,382,1593.0,Y,Typical,TA,Typical,TA,Typical,0
81,527164090,2Fl,PConc,Y,702.0,0.0,2.5,Good,Gilbert,1994,174000,2.0,36,1481.0,Y,Typical,TA,Typical,TA,Typical,0
82,527164120,2Fl,PConc,Y,712.0,0.0,2.5,Excellent,Gilbert,1994,194500,2.0,189,1895.0,Y,Good,Gd,Typical,TA,Typical,0
83,527165010,2Fl,PConc,Y,332.0,1.0,2.5,Good,Gilbert,1991,185000,2.0,40,2213.0,Y,Good,TA,Typical,None,Typical,0
84,527165020,SPLIT,PConc,Y,384.0,0.0,2.5,Good,Gilbert,1991,160000,2.0,164,1472.0,Y,Good,Gd,Typical,TA,Typical,0
85,527165100,SPLIT,PConc,Y,384.0,0.0,2.5,Good,Gilbert,1992,163900,2.0,125,1482.0,Y,Good,TA,Typical,TA,Typical,0
86,527165130,1Fl,PConc,Y,598.0,1.0,2.0,Good,Gilbert,1992,173000,2.0,146,1727.0,Y,Good,TA,Typical,None,Typical,0
87,527165170,2Fl,PConc,Y,903.0,0.0,2.5,Good,Gilbert,1993,168000,2.0,374,1642.0,Y,Typical,TA,Typical,TA,Typical,0
88,527165230,1Fl,PConc,Y,233.0,1.0,2.0,Excellent,Gilbert,1992,185000,2.0,504,2122.0,Y,Typical,TA,Typical,None,Typical,0
89,527166010,2Fl,PConc,Y,284.0,0.0,2.5,Excellent,Gilbert,1999,225000,2.0,0,2677.0,Y,Good,Gd,Typical,TA,Typical,0
90,527166030,2Fl,PConc,Y,935.0,0.0,2.5,Good,Gilbert,1998,176500,2.0,28,1632.0,Y,Typical,TA,Typical,TA,Typical,0
91,527166040,2Fl,PConc,Y,789.0,0.0,2.5,Good,Gilbert,1998,180400,2.0,75,1465.0,Y,Typical,TA,Typical,Gd,Typical,0
92,527175130,1Fl,CBlock,Y,752.0,1.0,1.0,Fair,Gilbert,1964,154204,2.0,354,1678.0,Y,Typical,TA,Typical,TA,Typical,0
93,527180040,1Fl,PConc,Y,663.0,1.0,1.5,Good,Gilbert,1990,171500,2.0,192,1978.0,Y,Good,TA,Typical,Po,Typical,0
94,527180100,1Fl,PConc,Y,1424.0,0.0,2.0,Excellent,Gilbert,1990,180500,2.0,542,1442.0,Y,Typical,TA,Typical,None,Typical,0
95,527182020,1FlPUD,CBlock,Y,1191.0,0.0,2.0,Typical,StoneBr,1987,130000,2.0,190,1204.0,Y,Typical,TA,Typical,None,Typical,0
96,527182040,1FlPUD,CBlock,Y,1074.0,0.0,1.5,Excellent,StoneBr,1986,170000,2.0,211,1088.0,Y,Good,Gd,Typical,None,Typical,0
97,527182170,2FlPUD,CBlock,Y,180.0,1.0,2.0,Good,StoneBr,1984,207500,2.0,219,3100.0,Y,Good,Gd,Typical,TA,Typical,0
